condition,fold_seed_count,train_windows_mean,heldout_windows_mean,train_roc_auc_mean,heldout_roc_auc_mean,train_average_precision_mean,heldout_average_precision_mean,train_precision_mean,heldout_precision_mean,train_recall_mean,heldout_recall_mean,train_f1_mean,heldout_f1_mean,train_accuracy_mean,heldout_accuracy_mean,heldout_tn_mean,heldout_fp_mean,heldout_fn_mean,heldout_tp_mean,max_abs_oof_logit_diff
H_MEAN_A,42,75.21428571428571,5.785714285714286,0.6326685032825384,0.634920634920635,0.6990770143464042,0.7494708994708993,0.6743580611478344,0.6024691358024691,0.46398046398046383,0.41269841269841256,0.5490118508157951,0.658234126984127,0.6055995508251147,0.5623015873015873,2.0,0.7857142857142857,1.7619047619047619,1.2380952380952381,4.76837158203125e-07
B_MEAN_A,42,75.21428571428571,5.785714285714286,0.6469410899235459,0.6402116402116403,0.7065681781885701,0.7502645502645502,0.68898851596592,0.6192307692307693,0.4743589743589743,0.41269841269841256,0.5610152862779347,0.6821946169772257,0.6157126582690493,0.5742063492063492,2.0714285714285716,0.7142857142857143,1.7619047619047619,1.2380952380952381,4.76837158203125e-07
B_MEAN_C,42,75.21428571428571,5.785714285714286,0.7131846276583118,0.5899470899470899,0.767967369650456,0.7325396825396825,0.7204815281260222,0.5645161290322581,0.5781440781440782,0.5,0.640108269834664,0.6457307060755335,0.6634917380030162,0.5583333333333333,1.7142857142857142,1.0714285714285714,1.5,1.5,1.9073486328125e-06
